"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"365","2417078391936493","General","General",13,0,0
"366","2503096463334685","General","General",5,0,1
"367","2501389656838699","General","General",20,0,15
"368","2417072605270405","General","General",30,0,7
"369","2388062854838047","General","General",18,1,10
"370","2499192427058422","General","General",11,0,4
"371","2498072847170380","General","General",15,0,9
"372","270995614263660","General","General",10,0,1
"373","2497264080584590","General","General",6,1,3
"374","267686034595316","General","General",6,1,2
"375","2621682084773067","General","General",4,2,0
"376","2496467343997597","General","General",8,0,3
"377","275819506896568","General","General",20,5,7
"378","2495691364075195","General","General",6,0,6
"379","2494987974145534","General","General",6,0,0
"380","2494215150889483","General","General",19,0,1
"381","2493646227613042","General","General",21,0,2
"382","2452793551698310","General","General",44,0,10
"383","2492114061099592","General","General",14,0,9
"384","2492040487773616","General","General",39,0,10
"385","2491220764522255","General","General",95,2,30
"386","2490281484616183","General","General",21,0,28
"387","2489518471359151","General","General",42,0,48
"388","2488918998085765","General","General",7,0,3
"389","2487991484845183","General","General",20,0,11
"390","2487189328258732","General","General",25,0,9
"391","2486331048344560","General","General",10,1,10
"392","2485653705078961","General","General",46,0,20
"393","2484747921836206","General","General",62,2,15
"394","2484001998577465","General","General",12,0,11
"395","2483378588639806","General","General",10,3,5
"396","2482414122069586","General","General",11,2,4
"397","2481587502152248","General","General",81,0,39
"398","2480803578897307","General","General",0,0,1
"399","2480148755629456","General","General",8,0,1
"400","2479291839048481","General","General",49,1,4
"401","2478533762457622","General","General",8,0,2
"402","903025066835417","General","General",13,0,7
"403","2477504505893881","General","General",11,0,2
"404","2417067051937627","General","General",7,0,0
"405","2476121299365535","General","General",7,0,4
"406","2475221022788896","General","General",32,0,17
"407","2474523632858635","General","General",7,0,1
"408","2474349472876051","General","General",5,0,2
"409","2473623982948600","General","General",60,0,9
"410","741473493055831","General","General",7,0,0
"411","2472856909691974","General","General",76,2,7
"412","571116756853446","General","General",9,1,5
"413","2406032939707705","General","General",6,0,3
"414","540696183254919","General","General",3,1,2
"415","2471405883170410","General","General",6,0,7
"416","595401651322023","General","General",0,1,0
"417","859591747852692","General","General",4,0,2
"418","2530824547134982","General","General",7,0,3
"419","2415213775436383","General","General",8,0,1
"420","796917120717170","General","General",0,0,0
"421","279809169702075","General","General",3,0,1
"422","234112927938857","General","General",3,0,1
"423","282170716116114","General","General",16,6,3
"424","262705291798500","General","General",2,0,2
"425","247251959755110","General","General",6,0,1
"426","2470670149910650","General","General",9,0,6
"427","712771406212751","General","General",2,1,1
"428","230607421587156","General","General",4,0,0
"429","236871850736158","General","General",2,0,1
"430","217933092839830","General","General",2,0,1
"431","237128200840300","General","General",2,0,0
"432","511259446208950","General","General",2,0,0
"433","681902852595052","General","General",5,1,0
"434","225323065552140","General","General",2,0,0
"435","855852714894737","General","General",4,1,0
"436","1431232247049750","General","General",17,3,0
"437","856258844872579","General","General",23,4,1
"438","2469610846683247","General","General",16,0,12
"439","2468927240084941","General","General",11,0,5
"440","2468065246837807","General","General",79,0,23
"441","2467168716927460","General","General",11,0,4
"442","2466992730278392","General","General",44,0,27
"443","2465619210415744","General","General",80,2,17
"444","2464803970497268","General","General",24,0,3
"445","2463855633925435","General","General",35,2,26
"446","2462940730683592","General","General",54,0,19
"447","2462202160757449","General","General",29,0,29
"448","2461182010859464","General","General",124,3,53
"449","2456703754640623","General","General",44,2,28
"450","2455887551388910","General","General",23,0,9
"451","2456444461333219","General","General",19,0,4
"452","2443777759266556","General","General",3,0,5
"453","2457360894574909","General","General",23,1,13
"454","2454930971484568","General","General",90,0,36
"455","2452035171774148","General","General",38,0,22
"456","2452927195018279","General","General",8,0,4
"457","2452030238441308","General","General",7,0,6
"458","2444805835830415","General","General",30,0,9
"459","2450441568600175","General","General",230,6,85
"460","2449761008668231","General","General",21,0,8
"461","2451170698527262","General","General",99,0,82
"462","2450467921930873","General","General",50,0,27
"463","2438963416414657","General","General",11,0,6
"464","2444835009160831","General","General",10,0,5
"465","2444781059166226","General","General",29,0,17
"466","2440739419570390","General","General",5,0,3
"467","2445643502413315","General","General",27,0,6
"468","2417060588604940","General","General",38,0,6
"469","2443795145931484","General","General",53,1,14
"470","2441321996178799","General","General",6,0,2
"471","2441379912839674","General","General",17,0,1
"472","2441289976182001","General","General",8,0,4
"473","2440760996234899","General","General",111,1,11
"474","2438371029807229","General","General",12,0,3
"475","2435912686719730","General","General",5,0,2
"476","2417058068605192","General","General",19,0,1
"477","2438059026505096","General","General",24,0,26
"478","2435225323455133","General","General",9,1,3
"479","2436083576702641","General","General",37,0,31
"480","2435161716794827","General","General",5,0,3
"481","2434409323536733","General","General",9,0,4
"482","2433544166956582","General","General",12,0,0
"483","2432784037032595","General","General",14,0,14
"484","2430551087255890","General","General",9,0,12
"485","2430558750588457","General","General",11,1,3
"486","2430494390594893","General","General",48,1,17
"487","2427176570926675","General","General",23,0,4
"488","2427422854235380","General","General",12,2,4
"489","2427174707593528","General","General",22,0,9
"490","2417054858605513","General","General",13,1,2
"491","2422676428043356","General","General",11,1,1
"492","2297788250532175","General","General",17,1,5
"493","2424786014499064","General","General",32,0,5
"494","2424309617880037","General","General",12,0,3
"495","2424307201213612","General","General",25,0,9
"496","2419623938348605","General","General",22,0,5
"497","2422487701395562","General","General",93,2,9
"498","2417052375272428","General","General",22,1,3
"499","2388075338170132","General","General",20,0,14
"500","2413092585668407","General","General",10,0,5
"501","2419314995046166","General","General",15,0,4
"502","2418700595107606","General","General",16,0,6
"503","2417801905197475","General","General",17,0,4
"504","2297787307198936","General","General",9,0,2
"505","2413046455673020","General","General",14,0,9
"506","2391663911144608","General","General",32,3,1
"507","2413045172339815","General","General",14,0,11
"508","2388060761504923","General","General",20,0,10
"509","2413043385673327","General","General",6,0,1
"510","2412288779082121","General","General",23,0,11
"511","2411525752491757","General","General",16,0,16
"512","2411393789171620","General","General",8,0,5
"513","2410757842568548","General","General",23,1,6
"514","2408404052803927","General","General",13,0,7
"515","2406798819631117","General","General",13,3,4
"516","2408221982822134","General","General",16,0,4
"517","2406694679641531","General","General",20,0,5
"518","2297782393866094","General","General",9,0,5
"519","2406027543041578","General","General",18,0,13
"520","2390837994560533","General","General",12,0,1
"521","2329579784019688","General","General",20,0,6
"522","2402743390036660","General","General",20,2,4
"523","2401975460113453","General","General",7,0,2
"524","1677572285741689","General","General",93,3,18
"525","1677418992423685","General","General",110,2,49
"526","1677304379101813","General","General",144,7,39
"527","1674346246064293","General","General",435,176,302
"528","1673612716137646","General","General",73,11,16
"529","1673317256167192","General","General",123,10,22
"530","1672945602871024","General","General",27,1,7
"531","1672876466211271","General","General",48,57,12
"532","1672806722884912","General","General",22,0,3
"533","1672729209559330","General","General",27,1,7
"534","1672653342900250","General","General",39,0,7
"535","1672513449580906","General","General",47,16,7
"536","1672334642932120","General","General",147,26,32
"537","1671932519638999","General","General",23,3,6
"538","1671736996325218","General","General",54,2,5
"539","1671324956366422","General","General",322,158,125
"540","1670846583080926","General","General",69,10,18
"541","1670737396425178","General","General",140,19,3
"542","1670694436429474","General","General",118,26,74
"543","1670581623107422","General","General",215,56,62
"544","1670386643126920","General","General",475,68,309
"545","1667949110037340","General","General",131,114,42
"546","1667709293394655","General","General",75,12,22
"547","1667673243398260","General","General",136,54,47
"548","1667509733414611","General","General",84,24,17
"549","1666984900133761","General","General",55,42,19
"550","1666765156822402","General","General",83,13,14
"551","1666523780179873","General","General",159,74,49
"552","1665902220242029","General","General",46,1,12
"553","1665584973607087","General","General",109,13,27
"554","1664797177019200","General","General",318,97,340
"555","1664623187036599","General","General",211,33,84
"556","1664080410424210","General","General",160,46,14
"557","1663683807130537","General","General",246,71,71
"558","1660886587410259","General","General",170,36,60
"559","1659973057501612","General","General",164,53,73
"560","1659493497549568","General","General",81,40,22
"561","1659221007576817","General","General",59,11,23
"562","1659046680927583","General","General",127,19,39
"563","1658549464310638","General","General",58,7,10
"564","1658256804339904","General","General",168,37,48
"565","1658076121024639","General","General",79,5,30
"566","1657508981081353","General","General",138,49,44
"567","1657396677759250","General","General",29,1,13
"568","1657180374447547","General","General",95,50,19
"569","1656450627853855","General","General",31,10,1
"570","1654798534685731","General","General",161,80,84
"571","1654375468061371","General","General",269,208,125
"572","1653637384801846","General","General",1200,93,210
"573","1653478631484388","General","General",219,95,63
"574","1652839688214949","General","General",124,7,1
"575","1652569621575289","General","General",227,146,84
"576","1651664141665837","General","General",101,36,26
"577","1650753365090248","General","General",216,98,93
"578","1648528411979410","General","General",86,4,49
"579","1648221062010145","General","General",148,56,52
"580","1648101958688722","General","General",57,5,16
"581","1647067518792166","General","General",135,48,45
"582","1646147415550843","General","General",417,67,259
"583","1645244545641130","General","General",526,268,433
"584","1644817572350494","General","General",637,41,112
"585","1644777589021159","General","General",50,17,9
"586","1644639829034935","General","General",52,1,12
"587","1644591609039757","General","General",64,30,28
